NacionalidadeEmbarcacao;Ano Acordo Bilateral;Total Acordo Bilateral;AcordoTipoNavegacao;País;FlagEmbarqueDesembarque
Brasilieiras;2012;10299;309;Longo Curso;POLÔNIA;2
Não Informado;2012;11786;392;Longo Curso;PORTUGAL;2
Estrangeiras;2012;1843165;749;Longo Curso;PORTUGAL;2
Brasilieiras;2012;36262;673;Longo Curso;PORTUGAL;2
Não Informado;2012;3302;909;Longo Curso;ROMÊNIA;2
Estrangeiras;2012;987461;913;Longo Curso;ROMÊNIA;2
Brasilieiras;2012;24224;053;Longo Curso;ROMÊNIA;2
Não Informado;2012;53095;79;Longo Curso;RUSSIA;2
Brasilieiras;2012;11810;459;Longo Curso;RUSSIA;2
Estrangeiras;2012;1841867;665;Longo Curso;RUSSIA;2
Estrangeiras;2012;14982913;854;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2012;6153651;9999999;Longo Curso;ESTADOS UNIDOS;2
Não Informado;2012;1018754;643;Longo Curso;ESTADOS UNIDOS;2
Brasilieiras;2012;410037;715;Longo Curso;URUGUAI;2
Estrangeiras;2012;266754;647;Longo Curso;URUGUAI;2
Não Informado;2012;1684;935;Longo Curso;URUGUAI;2
Estrangeiras;2012;29355;21;Interior;URUGUAI;2
Estrangeiras;2013;6664176;8780001;Longo Curso;ARGENTINA;1
Brasilieiras;2013;1128383;013;Longo Curso;ARGENTINA;1
Brasilieiras;2013;6977;71;Interior;ARGENTINA;1
Não Informado;2013;84774;309;Longo Curso;ARGENTINA;1
Estrangeiras;2013;83498;808;Longo Curso;BULGÁRIA;1
Brasilieiras;2013;903;264;Longo Curso;BULGÁRIA;1
Estrangeiras;2013;2906192;501;Longo Curso;CHILE;1
Brasilieiras;2013;245171;259;Longo Curso;CHILE;1
Não Informado;2013;6144;419;Longo Curso;CHILE;1
Estrangeiras;2013;10517374;094;Longo Curso;CHINA;1
Brasilieiras;2013;2802663;814;Longo Curso;CHINA;1
Não Informado;2013;81641;418;Longo Curso;CHINA;1
